PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,quarter,year
HAVEN AVENUE,MANHATTAN    ,1.38,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
NAUTILUS PLAYGROUND BROOKLYN,BROOKLYN     ,1.38,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ARCILLA PLAYGROUND,BRONX        ,1.377,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
LIEUTENANT JOHN H. MARTINSON PLAYGROUND,STATEN ISLAND,1.375,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
FOUNTAIN OF YOUTH PLAYGROUND,BRONX        ,1.375,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MARTINEZ PLAYGROUND,BROOKLYN     ,1.373,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HILLSIDE PARK BROOKLYN,BROOKLYN     ,1.371,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PLAYGROUND ONE FORTY,QUEENS       ,1.37,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
LT. LIA PLAYGROUND,STATEN ISLAND,1.37,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CRACK IS WACK PLAYGROUND,MANHATTAN    ,1.369,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CASTLE HILL PLAYGROUND,BRONX        ,1.368,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HOPE BALLFIELD,BROOKLYN     ,1.363,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ADAM YAUCH PARK,BROOKLYN     ,1.363,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
DR. RONALD MCNAIR PARK,BROOKLYN     ,1.361,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ADMIRAL FARRAGUT PLAYGROUND,BRONX        ,1.359,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MCDONALD PLAYGROUND STATEN ISLAND,STATEN ISLAND,1.352,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
UNNAMED PARK ON VANDALIA AVENUE,BROOKLYN     ,1.351,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PLAYGROUND EIGHTY LXXX,QUEENS       ,1.35,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
FRESH MEADOWS PLAYGROUND,QUEENS       ,1.35,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PRINTER'S PARK,BRONX        ,1.341,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
RENAISSANCE PLAYGROUND,MANHATTAN    ,1.34,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CLASSON PLAYGROUND AT CLASSON AVENUE & LAFAYETTE AVENUE,BROOKLYN     ,1.336,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
REMSEN PLAYGROUND,BROOKLYN     ,1.333,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MARC AND JASON'S PLAYGROUND,BROOKLYN     ,1.326,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
VETERANS PARK STATEN ISLAND,STATEN ISLAND,1.324,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
LYONS SQUARE PLAYGROUND,BRONX        ,1.322,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
AGNES HAYWOOD PLAYGROUND,BRONX        ,1.32,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MARION HOPKINSON PLAYGROUND,BROOKLYN     ,1.32,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
AMPERE PLAYGROUND,QUEENS       ,1.318,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
POTOMAC PLAYGROUND,BROOKLYN     ,1.315,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
DETECTIVE JOSEPH MAYROSE PARK,BROOKLYN     ,1.314,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PAUL RAIMONDA PLAYGROUND,QUEENS       ,1.31,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PRALL PLAYGROUND,STATEN ISLAND,1.307,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HORACE HARDING PLAYGROUND,QUEENS       ,1.304,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
DEAN PLAYGROUND,BROOKLYN     ,1.3,ONE ACRE OR LARGER,0.0,0,1,0,0,0,0,1,1,2024
SEVEN GABLES PLAYGROUND,QUEENS       ,1.297,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
TRIBOROUGH BRIDGE PLAYGROUND B,QUEENS       ,1.295,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
LITTLE FLOWER PLAYGROUND,MANHATTAN    ,1.294,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
DONGAN PLAYGROUND,STATEN ISLAND,1.293,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BUSHWICK PLAYGROUND ON FLUSHING AVENUE,BROOKLYN     ,1.29,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
SAMUEL H. YOUNG PARK,BRONX        ,1.285,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
EAST RIVER PLAYGROUND,MANHATTAN    ,1.285,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BOWNE PLAYGROUND,QUEENS       ,1.28,ONE ACRE OR LARGER,0.0,0,0,0,0,1,0,1,1,2024
SPACE TIME PLAYGROUND,BRONX        ,1.28,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
RUDD PLAYGROUND,BROOKLYN     ,1.278,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
WILLOW LAKE PLAYGROUND,QUEENS       ,1.277,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MURPHY'S BROTHER'S PLAYGROUND,MANHATTAN    ,1.275,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
COONEY GRAUER FIELD,BRONX        ,1.274,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
WAGNER PLAYGROUND,MANHATTAN    ,1.27,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
EMERALD PLAYGROUND,QUEENS       ,1.265,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PELHAM BAY LITTLE LEAGUE,BRONX        ,1.26,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CHARLIE'S PLACE,BROOKLYN     ,1.26,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
GREENE PLAYGROUND,BROOKLYN     ,1.259,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
TANAHEY PLAYGROUND,MANHATTAN    ,1.254,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ALBERT J. PARHAM PLAYGROUND,BROOKLYN     ,1.253,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PARKSIDE PLAYGROUND BROOKLYN,BROOKLYN     ,1.252,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PLAYGROUND NINETY,QUEENS       ,1.25,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CARLTON PARK AT CARLTON BOULEVARD & CROWN AVENUE,STATEN ISLAND,1.25,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
NEPTUNE PLAYGROUND,BROOKLYN     ,1.243,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HECKSCHER PLAYGROUND,BROOKLYN     ,1.24,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ANNUNCIATION PARK,MANHATTAN    ,1.24,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
GRASSMERE PLAYGROUND,QUEENS       ,1.239,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
QUEENSBORO OVAL,MANHATTAN    ,1.239,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
GONZALO PLASENCIA PLAYGROUND,BROOKLYN     ,1.236,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
RIENZI PLAYGROUND,BRONX        ,1.23,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
FRESH MEADOWS PARK,QUEENS       ,1.23,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PATRICK O'ROURKE PARK,BROOKLYN     ,1.23,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ROEBLING PLAYGROUND,BROOKLYN     ,1.23,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HOWARD BENNETT PLAYGROUND,MANHATTAN    ,1.228,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
STANLEY ISAACS PLAYGROUND,MANHATTAN    ,1.227,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CHAPPETTO SQUARE,QUEENS       ,1.226,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BRIGHTON PLAYGROUND,BROOKLYN     ,1.225,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
NELSON PLAYGROUND,BRONX        ,1.222,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
SHEEPSHEAD BAY PIERS,BROOKLYN     ,1.22,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ELEANOR ROOSEVELT PLAYGROUND,BROOKLYN     ,1.211,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BAYSIDE PLAYGROUND,QUEENS       ,1.21,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BAYVIEW PLAYGROUND,BROOKLYN     ,1.21,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MURRAY HILL PLAYGROUND,QUEENS       ,1.206,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
FRANCIS LEWIS PLAYGROUND,QUEENS       ,1.206,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MAGENTA PLAYGROUND,BRONX        ,1.205,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
TIFFANY PLAYGROUND,BRONX        ,1.205,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MAURICE A FITZGERALD PLAYGROUND,QUEENS       ,1.201,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HILTON HOLIDAY GARDENS,QUEENS       ,1.2,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
DANIEL BOONE PLAYGROUND,BRONX        ,1.2,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
KOREAN WAR VETERANS PLAZA,BROOKLYN     ,1.195,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HATTIE CARTHAN PLAYGROUND,BROOKLYN     ,1.195,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
STROUD PLAYGROUND,BROOKLYN     ,1.194,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
TILDEN PLAYGROUND,BROOKLYN     ,1.19,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
UNDERWOOD PARK,BROOKLYN     ,1.187,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
SOUTH OXFORD PARK,BROOKLYN     ,1.187,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
LAFAYETTE PLAYGROUND ON STILLWELL AVENUE,BROOKLYN     ,1.187,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
GROVE HILL PLAYGROUND,BRONX        ,1.186,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
LA GUARDIA PLAYGROUND,BROOKLYN     ,1.179,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
UNNAMED PARK ON DRUMGOOLE ROAD & VERNON AVENUE,STATEN ISLAND,1.178,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BELMONT PLAYGROUND BROOKLYN,BROOKLYN     ,1.177,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
STEUBEN PLAYGROUND,BROOKLYN     ,1.171,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
WILLIAM SHERIDAN PLAYGROUND,BROOKLYN     ,1.17,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
THE CYCLONE,BROOKLYN     ,1.17,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
OAKLAND GARDENS,QUEENS       ,1.166,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
UNIVERSITY PLACE,BROOKLYN     ,1.161,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
EHRENREICH-AUSTIN PLAYGROUND,QUEENS       ,1.161,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HILLSIDE PARK QUEENS,QUEENS       ,1.16,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
SITTING AREA AT HOYT AVENUE,QUEENS       ,1.16,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HARDING PARK BEAUTIFICATION PROJECT,BRONX        ,1.16,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CUYLER GORE PARK,BROOKLYN     ,1.158,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BATH PLAYGROUND,BROOKLYN     ,1.157,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
POLICE OFFICER NICHOLAS DEMUTIIS PARK,QUEENS       ,1.151,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
"""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND",QUEENS       ,1.15,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
RAPPAPORT PLAYGROUND,BROOKLYN     ,1.148,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
EAST SPRINGFIELD PLAYGROUND,QUEENS       ,1.146,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
WILLETS POINT PLAYGROUND,QUEENS       ,1.145,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
TOAD HALL PLAYGROUND,STATEN ISLAND,1.145,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
SEASIDE PLAYGROUND,QUEENS       ,1.144,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CORPORAL JOHN A. SERAVALLI PLAYGROUND,MANHATTAN    ,1.143,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
POPPENHUSEN PLAYGROUND,QUEENS       ,1.14,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
UNNAMED PARK ON ROCKAWAY BOARDWALK & B 28TH ST,QUEENS       ,1.14,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
SOBEL COURT PARK,STATEN ISLAND,1.137,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
WESTBOURNE PLAYGROUND,QUEENS       ,1.13,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
FIDLER-WYCKOFF HOUSE PARK,BROOKLYN     ,1.13,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
D'EMIC PLAYGROUND,BROOKLYN     ,1.13,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
UNNAMED PARK ON SOUNDVIEW AVENUE,BRONX        ,1.13,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PRESCOTT PLAYGROUND,STATEN ISLAND,1.124,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
LOPEZ PLAYGROUND,STATEN ISLAND,1.115,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HUGH J. GRANT CIRCLE,BRONX        ,1.11,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
P.S. 29 BALL FIELD,BRONX        ,1.107,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PENA HERRERA PARK,BROOKLYN     ,1.107,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MENTONE PLAYGROUND,QUEENS       ,1.102,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MIDDLETON PLAYGROUND,BROOKLYN     ,1.101,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
DE HOSTOS PLAYGROUND,BROOKLYN     ,1.1,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
SARATOGA BALLFIELDS,BROOKLYN     ,1.095,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ROBERT MOSES PLAYGROUND,MANHATTAN    ,1.093,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
STOCKTON PLAYGROUND,BROOKLYN     ,1.089,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
JACOB'S LADDER PLAYGROUND,BROOKLYN     ,1.085,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
LOUIS ARMSTRONG PLAYGROUND,QUEENS       ,1.085,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
UNNAMED PARK ON HAMILTON AVENUE,BROOKLYN     ,1.08,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
LATIMER PLAYGROUND,QUEENS       ,1.076,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
UNNAMED PARK ON MELROSE AVENUE,BRONX        ,1.075,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MARLBORO PLAYGROUND,BROOKLYN     ,1.072,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
NORTH ROCHDALE PLAYGROUND,QUEENS       ,1.071,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
JEROME PLAYGROUND,BROOKLYN     ,1.068,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
GREAT KILLS PARK AT HILLCREST AVENUE,STATEN ISLAND,1.065,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
FERMI PLAYGROUND,BROOKLYN     ,1.061,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ERICSSON PLAYGROUND,BROOKLYN     ,1.06,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MELLETT PLAYGROUND,BROOKLYN     ,1.056,ONE ACRE OR LARGER,0.0,0,1,0,0,0,0,1,1,2024
TELEPHONE PLAYGROUND,QUEENS       ,1.056,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
NELLIE BLY PARK,BROOKLYN     ,1.056,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
SEDGWICK PLAYGROUND,BRONX        ,1.054,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BRUCKNER PLAYGROUND,BRONX        ,1.053,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MILLBROOK PLAYGROUND,BRONX        ,1.053,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PLAYGROUND 103 CIII,MANHATTAN    ,1.052,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ROCKET PARK,QUEENS       ,1.052,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BEACH CHANNEL PLAYGROUND,QUEENS       ,1.051,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
L/CPL THOMAS P. NOONAN JR. PLAYGROUND,QUEENS       ,1.05,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
LOZADA PLAYGROUND,BRONX        ,1.05,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
JAMES WELDON JOHNSON PLAYGROUND,MANHATTAN    ,1.048,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
SPRINGFIELD PARK NORTH,QUEENS       ,1.045,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
NICHOLAS NAQUAN HEYWARD JR. PARK,BROOKLYN     ,1.041,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PLANEVIEW PARK,QUEENS       ,1.035,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
FISH PLAYGROUND,BROOKLYN     ,1.035,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
GILBERT RAMIREZ PARK,BROOKLYN     ,1.034,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
OXPORT PLAYGROUND,BROOKLYN     ,1.033,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
VAN ALST PLAYGROUND,QUEENS       ,1.033,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
WOODTREE PLAYGROUND,QUEENS       ,1.033,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HAMMEL PLAYGROUND,QUEENS       ,1.03,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
SUNRISE PLAYGROUND,QUEENS       ,1.025,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
EASTCHESTER PLAYGROUND,BRONX        ,1.025,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
POWELL PLAYGROUND,BROOKLYN     ,1.024,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
KALTENMEIER PLAYGROUND,STATEN ISLAND,1.02,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MATTHEWS MULINER PLAYGROUND,BRONX        ,1.02,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BOWLING GREEN,MANHATTAN    ,1.016,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
ANNADALE PLAYGROUND,QUEENS       ,1.013,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CURTIS PLAYGROUND,BROOKLYN     ,1.003,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MELROSE PLAYGROUND,BRONX        ,1.001,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PLAYGROUND 174,BRONX        ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PLIMPTON PLAYGROUND,BRONX        ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HOWARD PLAYGROUND,BROOKLYN     ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CHESTER PLAYGROUND,BROOKLYN     ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
JACKIE ROBINSON PLAYGROUND,BROOKLYN     ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
HACKETT PARK,BRONX        ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
RANDALL PLAYGROUND,BRONX        ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
PINK PLAYGROUND,BROOKLYN     ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MARTIN LUTHER KING PLAYGROUND,MANHATTAN    ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
MONSIGNOR KETT PLAYGROUND,MANHATTAN    ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
CASERTA PLAYGROUND,BRONX        ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
BLAKE HOBBS PLAYGROUND,MANHATTAN    ,1.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2024
RUPPERT PARK,MANHATTAN    ,0.997,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
BELLEROSE PLAYGROUND,QUEENS       ,0.996,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
ARVERNE PLAYGROUND,QUEENS       ,0.993,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
ABRAHAM LINCOLN PLAYGROUND,MANHATTAN    ,0.991,BASKETBALL & POOL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
CAPTAIN RIVERA PLAYGROUND,BRONX        ,0.988,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
NEWTOWN BARGE PLAYGROUND,BROOKLYN     ,0.983,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
HOLLIS PLAYGROUND,QUEENS       ,0.98,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
MAPLE PLAYGROUND,QUEENS       ,0.978,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
GOUVERNEUR PLAYGROUND,BRONX        ,0.977,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
MOTT PLAYGROUND,BRONX        ,0.977,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
ZIMMERMAN PLAYGROUND,BRONX        ,0.974,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
LANNETT PLAYGROUND,QUEENS       ,0.974,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
RANAQUA PARK,BRONX        ,0.972,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
TEN EYCK PLAYGROUND,BROOKLYN     ,0.972,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
MAE GRANT PLAYGROUND,MANHATTAN    ,0.97,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
CARVER PLAYGROUND,BROOKLYN     ,0.964,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
ANDRIES PLAYGROUND,BROOKLYN     ,0.964,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,1,2024
