PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,quarter,year
BROWNSVILLE PLAYGROUND,BROOKLYN     ,3.017,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
GRANDVIEW PLAYGROUND,STATEN ISLAND,3.014,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
LAWRENCE VIRGILIO PLAYGROUND,QUEENS       ,3.009,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
JACOB JOFFE FIELDS,BROOKLYN     ,2.984,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
CLASSON PLAYGROUND AT CLASSON AVENUE & KENT,BROOKLYN     ,2.982,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
UTOPIA PLAYGROUND,QUEENS       ,2.98,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BATH BEACH PARK,BROOKLYN     ,2.964,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
GLEN OAKS OVAL,QUEENS       ,2.948,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
POSEIDON PLAYGROUND,BROOKLYN     ,2.944,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MERRIAM PLAYGROUND,BRONX        ,2.944,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ROBERT E. VENABLE PARK,BROOKLYN     ,2.939,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
LEFFERTS PLAYGROUND,QUEENS       ,2.937,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
WALT WHITMAN PARK,BROOKLYN     ,2.913,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
WESTERLEIGH PARK,STATEN ISLAND,2.889,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
PETERS FIELD,QUEENS       ,2.872,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
DELPHIN H. GREENE PLAYGROUND,QUEENS       ,2.861,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
HOFFMAN PARK,QUEENS       ,2.857,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
